,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Percentage daily smokers,TBL rate
2945,LAO,1991,0.12889578969594595,0.01446839527027027,0.9579140625,0.046610274493243245,0.3156278716216216,0.01169917652027027,0.22640161317567567,34.0,26.81517417533684
2946,LAO,1992,0.1371524197635135,0.015698886402027025,0.9508584459459459,0.04639565033783784,0.3166359375,0.011677003800675677,0.2323857981418919,34.0,26.907820137287445
2947,LAO,1993,0.1387411570945946,0.01605234797297297,0.940837331081081,0.04604430320945946,0.32034776182432434,0.01155248606418919,0.23832615287162162,34.0,26.9553750013454
2948,LAO,1994,0.14683842905405403,0.015565236486486486,0.9351244510135135,0.046037867398648645,0.3429159628378378,0.011549083614864864,0.24412888513513514,33.900002,26.9630641449212
2949,LAO,1995,0.14956374577702702,0.017855775337837835,0.8930972128378379,0.04287977195945946,0.39122521114864867,0.010791741554054053,0.24934425675675675,33.900002,26.984802478910765
2950,LAO,1996,0.15407233952702704,0.02098383445945946,0.8978070101351352,0.04169744932432432,0.3998509079391892,0.010685558699324324,0.25469665540540537,33.799999,26.88877623759035
2951,LAO,1997,0.15917554898648648,0.025072545185810813,0.9040830236486486,0.0403838133445946,0.3614728462837838,0.01048460177364865,0.25982162162162165,33.5,26.779533609535147
2952,LAO,1998,0.14828524070945945,0.02709595777027027,0.9101297297297297,0.03886450591216216,0.32764727618243245,0.010287380912162162,0.2646507179054054,33.099998,26.67256026486296
2953,LAO,1999,0.14189966216216215,0.02887030954391892,0.9151559121621622,0.03784469172297297,0.3677134712837838,0.010240226773648648,0.2692158150337838,32.700001,26.42748857203869
2954,LAO,2000,0.17122055320945948,0.019263543074324325,1.451157221283784,0.06217467483108108,0.45978842905405404,0.018739762246621623,0.28068916807432437,32.299999,26.00114474187062
2955,LAO,2001,0.20455134290540541,0.015549631756756756,1.5026190878378378,0.06383050675675676,0.46276984797297294,0.019456005067567568,0.2967335304054054,31.799999,25.65495911994676
2956,LAO,2002,0.21103057432432432,0.01904657939189189,1.563673733108108,0.06540587415540541,0.4835012077702702,0.019918491131756755,0.3034806587837838,31.299999,25.07824399261328
2957,LAO,2003,0.21923728885135135,0.022863750000000002,1.622324070945946,0.06702372888513514,0.4974541385135135,0.020434826858108105,0.31249767736486483,30.799999,24.746188925571165
2958,LAO,2004,0.2414358108108108,0.024663958192567566,1.6795685810810812,0.06864404138513513,0.5116177787162162,0.020962899493243245,0.3202465793918919,30.0,24.40404209032216
2959,LAO,2005,0.2562937626689189,0.024715893581081082,1.7338081925675677,0.07030650337837839,0.5151939189189189,0.021488923141891894,0.3203858741554054,29.299999,24.17057440644125
2960,LAO,2006,0.2620203125,0.024837103040540542,1.735847635135135,0.07224771959459458,0.5249999577702703,0.02280364864864865,0.33058969594594595,28.700001,24.02039015708896
2961,LAO,2007,0.2653390076013514,0.025562782939189187,1.753740498310811,0.07772960304054054,0.5058817567567567,0.02444613893581081,0.33743794341216216,28.200001,23.91588295689366
2962,LAO,2008,0.2671959881756757,0.023072899493243242,1.7458619087837837,0.08352985641891891,0.5224522381756757,0.026735567567567568,0.3605417652027027,27.9,23.82014486344098
2963,LAO,2009,0.2942617820945946,0.025457392314189187,1.6920023648648648,0.08206846283783785,0.4706729307432433,0.02696475929054054,0.3660518834459459,27.6,23.69500277202891
2964,LAO,2010,0.3018384121621621,0.030381585304054055,1.6508903716216217,0.08082596283783784,0.46519624155405404,0.026757960304054054,0.37182411317567565,27.4,23.511790357243747
2965,LAO,2011,0.30598961148648646,0.03455594045608108,1.6811392736486488,0.07914125844594595,0.43168462837837834,0.026376969594594592,0.38028125,27.299999,23.29594189655001
2966,LAO,2012,0.3335296030405405,0.03623554054054054,1.6411378378378378,0.07695086570945946,0.42670097128378376,0.02624191089527027,0.38565781250000003,27.299999,23.19415251914127
2967,LTE,1990,,,,,,,,,
2968,LTE,1991,,,,,,,,,
2969,LTE,1992,,,,,,,,,
2970,LTE,1993,,,,,,,,,
2971,LTE,1994,,,,,,,,,
2972,LTE,1995,,,,,,,,,
2973,LTE,1996,,,,,,,,,
2974,LTE,1997,,,,,,,,,
2975,LTE,1998,,,,,,,,,
2976,LTE,1999,,,,,,,,,
2977,LTE,2000,,,,,,,,,
2978,LTE,2001,,,,,,,,,
2979,LTE,2002,,,,,,,,,
2980,LTE,2003,,,,,,,,,
2981,LTE,2004,,,,,,,,,
2982,LTE,2005,,,,,,,,,
2983,LTE,2006,,,,,,,,,
2984,LTE,2007,,,,,,,,,
2985,LTE,2008,,,,,,,,,
2986,LTE,2009,,,,,,,,,
2987,LTE,2010,,,,,,,,,
2988,LTE,2011,,,,,,,,,
2989,LTE,2012,,,,,,,,,
2990,LCN,1990,,,,,,,,,
2991,LCN,1991,,,,,,,,,
2992,LCN,1992,,,,,,,,,
2993,LCN,1993,,,,,,,,,
2994,LCN,1994,,,,,,,,,
2995,LCN,1995,,,,,,,,,
2996,LCN,1996,,,,,,,,,
2997,LCN,1997,,,,,,,,,
2998,LCN,1998,,,,,,,,,
2999,LCN,1999,,,,,,,,,
3000,LCN,2000,,,,,,,,,
3001,LCN,2001,,,,,,,,,
3002,LCN,2002,,,,,,,,,
